Table 6 
Photometry of GRB 130427A


t_0 (day)	t_0 (s)	t_e (s)	t_f (s)	Filter	m (AB)	Flux (muJy)	
5.95	513920	4295	6.14	Z	19.82 +or- 0.42	31.53 +or- 1.24	
5.95	513921	4295	6.14	H	19.45 +or- 0.43	42.74 +or- 7.19	
5.95	513921	4295	6.14	J	19.66 +or- 0.42	41.53 +or- 2.91	
5.97	515483	5119	6.12	g	20.54 +or- 0.42	17.98 +or- 0.50	
6.93	598530	12400	7.13	i	20.16 +or- 0.42	22.37 +or- 0.55	
6.93	598765	11759	7.13	g	20.67 +or- 0.42	15.46 +or- 0.49	
6.93	598772	4832	7.13	Y	19.87 +or- 0.43	30.39 +or- 2.19	
6.93	598772	5033	7.13	Z	19.90 +or- 0.42	28.59 +or- 1.23	
6.93	598776	4966	7.13	H	19.67 +or- 0.43	32.84 +or- 7.91	
6.93	598776	5033	7.13	J	19.82 +or- 0.43	35.80 +or- 5.87	
7.94	686416	9040	8.14	g	20.82 +or- 0.42	12.77 +or- 0.51	
7.94	686416	9679	8.14	i	20.31 +or- 0.42	18.42 +or- 0.56	
7.95	686463	3557	8.14	Z	20.07 +or- 0.43	22.98 +or- 1.38	
7.95	686463	3557	8.14	J	19.80 +or- 0.43	33.50 +or- 4.67	
7.95	686463	4093	8.14	Y	19.87 +or- 0.43	28.88 +or- 2.74	
7.95	686463	4698	8.14	H	19.80 +or- 0.43	51.25 +or- 11.57	
9.96	860894	5999	10.08	g	21.04 +or- 0.42	9.46 +or- 0.49	
9.96	860894	5999	10.08	i	20.46 +or- 0.42	14.73 +or- 0.57	
9.96	860902	2483	10.08	J	20.22 +or- 0.43	19.00 +or- 5.64	
9.96	860902	2550	10.08	H	20.19 +or- 0.44	-1.10 +or- 15.50	
9.96	860904	2483	10.08	Z	20.18 +or- 0.43	18.27 +or- 1.70	
9.96	860904	2550	10.08	Y	20.18 +or- 0.43	20.30 +or- 3.31	
10.91	943033	1120	10.93	r	20.64 +or- 0.43	11.51 +or- 1.26	
10.93	943968	3892	11.15	Z	20.35 +or- 0.43	13.97 +or- 1.59	
10.93	943968	3959	11.15	Y	20.27 +or- 0.43	18.42 +or- 3.49	
10.93	944062	9840	11.15	i	20.54 +or- 0.42	13.32 +or- 0.58	
10.93	944113	2480	11.15	g	21.17 +or- 0.43	8.07 +or- 0.83	
10.93	944130	4093	11.15	J	20.21 +or- 0.44	24.43 +or- 9.14	
11.93	1030399	4832	12.13	Y	20.38 +or- 0.43	15.22 +or- 1.38	
11.93	1030399	4832	12.13	Z	20.40 +or- 0.42	13.84 +or- 0.89	
11.93	1030400	4832	12.13	H	20.09 +or- 0.43	18.47 +or- 4.85	
11.93	1030400	4832	12.13	J	20.43 +or- 0.43	12.27 +or- 2.19	
11.93	1030435	6399	12.13	r	20.68 +or- 0.42	10.92 +or- 0.52	
11.93	1030435	5119	12.09	g	21.12 +or- 0.42	8.26 +or- 0.49	
11.93	1030435	11519	12.13	i	20.58 +or- 0.42	12.27 +or- 0.49	
12.91	1115381	5119	13.09	r	20.71 +or- 0.42	10.44 +or- 0.54	
12.91	1115381	10240	13.09	i	20.60 +or- 0.42	11.86 +or- 0.50	
12.91	1115386	4295	13.09	Y	20.33 +or- 0.43	16.63 +or- 1.77	
12.91	1115386	4295	13.09	Z	20.39 +or- 0.43	13.92 +or- 1.02	
12.91	1115413	5119	13.05	g	21.17 +or- 0.42	7.90 +or- 0.49	
12.91	1115428	4295	13.09	H	20.34 +or- 0.44	2.34 +or- 6.49	
12.91	1115428	4295	13.09	J	20.34 +or- 0.43	16.98 +or- 3.20	
13.91	1201686	5119	14.04	g	21.24 +or- 0.42	7.36 +or- 0.48	
13.91	1201710	5119	14.08	r	20.76 +or- 0.42	9.59 +or- 0.54	
13.91	1201710	10160	14.08	i	20.67 +or- 0.42	10.39 +or- 0.50	
13.91	1201715	4228	14.08	Y	20.40 +or- 0.43	14.09 +or- 1.74	
13.91	1201715	4295	14.08	Z	20.52 +or- 0.43	11.19 +or- 0.97	
13.91	1201716	4295	14.08	H	20.33 +or- 0.44	0.08 +or- 6.63	
13.91	1201716	4295	14.08	J	20.36 +or- 0.43	18.58 +or- 2.92	
14.90	1287710	5119	15.05	r	20.78 +or- 0.42	9.55 +or- 0.53	
14.91	1288530	10240	15.08	i	20.72 +or- 0.42	10.15 +or- 0.49	
14.91	1288579	4295	15.08	H	20.26 +or- 0.43	16.57 +or- 4.77	
14.91	1288579	4295	15.08	J	20.53 +or- 0.43	15.81 +or- 2.29	
14.91	1288581	4295	15.08	Y	20.41 +or- 0.43	13.66 +or- 1.38	
14.91	1288581	4295	15.08	Z	20.49 +or- 0.43	11.03 +or- 0.89	
14.92	1289370	5119	15.07	g	21.26 +or- 0.42	6.95 +or- 0.49	
15.89	1373149	5119	16.03	r	20.83 +or- 0.42	8.62 +or- 0.55	
15.90	1373982	10240	16.06	i	20.75 +or- 0.42	9.25 +or- 0.50	
15.90	1374029	4295	16.06	Y	20.52 +or- 0.43	11.67 +or- 1.67	
15.90	1374029	4295	16.06	Z	20.54 +or- 0.43	10.73 +or- 1.03	
15.90	1374030	4295	16.06	H	20.36 +or- 0.44	5.63 +or- 5.26	
15.90	1374030	4295	16.06	J	20.60 +or- 0.43	8.97 +or- 2.75	
15.91	1374818	5119	16.05	g	21.29 +or- 0.42	6.83 +or- 0.50	
16.91	1460973	4480	17.04	r	20.81 +or- 0.42	9.13 +or- 0.57	
16.91	1460973	8319	17.04	i	20.75 +or- 0.42	9.38 +or- 0.52	
16.91	1460979	3489	17.04	Y	20.55 +or- 0.43	10.18 +or- 2.47	
16.91	1460979	3489	17.04	Z	20.60 +or- 0.43	10.59 +or- 1.12	
16.91	1460981	3489	17.04	J	20.55 +or- 0.44	8.21 +or- 3.78	
16.91	1461359	3839	17.02	g	21.33 +or- 0.42	6.47 +or- 0.52	
17.91	1547770	3839	18.06	r	20.87 +or- 0.42	8.51 +or- 0.61	
17.93	1548872	7680	18.09	i	20.75 +or- 0.42	9.16 +or- 0.55	
17.93	1548882	3221	18.09	Y	20.59 +or- 0.43	8.06 +or- 2.81	
17.93	1548882	3221	18.09	Z	20.61 +or- 0.43	9.09 +or- 1.38	
17.94	1549668	3839	18.08	g	21.39 +or- 0.42	5.89 +or- 0.55	
18.92	1634492	6399	19.11	r	20.91 +or- 0.42	7.38 +or- 0.54	
18.92	1634492	11359	19.11	i	20.79 +or- 0.42	8.55 +or- 0.50	
18.92	1634525	4959	19.07	g	21.38 +or- 0.42	5.56 +or- 0.50	
18.92	1634538	4765	19.10	J	20.48 +or- 0.43	13.30 +or- 2.52	
18.92	1634542	4765	19.10	Y	20.57 +or- 0.43	11.37 +or- 1.61	
18.92	1634542	4765	19.10	Z	20.59 +or- 0.43	10.29 +or- 0.93	
19.91	1720548	6079	20.09	r	20.91 +or- 0.42	7.22 +or- 0.57	
19.91	1720548	11120	20.09	i	20.82 +or- 0.42	8.25 +or- 0.52	
19.91	1720583	5119	20.05	g	21.43 +or- 0.42	5.28 +or- 0.51	
19.91	1720594	4563	20.09	J	20.59 +or- 0.43	7.48 +or- 2.76	
19.91	1720597	4429	20.09	Y	20.57 +or- 0.43	10.06 +or- 2.14	
19.91	1720597	4496	20.09	Z	20.70 +or- 0.43	9.23 +or- 1.08	
20.91	1807055	6399	21.10	r	20.91 +or- 0.42	7.10 +or- 0.61	
20.91	1807055	11439	21.10	i	20.79 +or- 0.42	8.25 +or- 0.56	
20.92	1807079	5039	21.06	g	21.52 +or- 0.43	4.36 +or- 0.57	
20.92	1807103	4765	21.10	J	20.78 +or- 0.44	7.57 +or- 3.74	
20.92	1807104	4765	21.10	Z	20.58 +or- 0.43	10.89 +or- 1.36	
20.92	1807104	4832	21.10	Y	20.60 +or- 0.43	9.30 +or- 2.26	
21.92	1893510	6399	22.10	r	20.96 +or- 0.42	6.56 +or- 0.62	
21.92	1893511	11519	22.10	i	20.84 +or- 0.42	7.54 +or- 0.57	
21.92	1893520	5119	22.06	g	21.51 +or- 0.43	4.19 +or- 0.57	
21.92	1893559	4832	22.09	J	21.04 +or- 0.45	5.14 +or- 3.19	
21.92	1893561	4832	22.09	Z	20.59 +or- 0.43	10.00 +or- 1.58	
21.92	1893561	4832	22.09	Y	20.64 +or- 0.43	7.93 +or- 2.18	
22.91	1979266	5119	23.04	r	20.94 +or- 0.42	6.60 +or- 0.59	
22.92	1980062	10240	23.07	i	20.87 +or- 0.42	7.27 +or- 0.51	
22.93	1980833	5119	23.06	g	21.53 +or- 0.43	5.10 +or- 0.53	
23.91	2065542	4959	24.04	g	21.46 +or- 0.43	4.78 +or- 0.59	
23.91	2065553	6399	24.08	r	20.91 +or- 0.42	6.21 +or- 0.66	
23.91	2065553	11519	24.08	i	20.86 +or- 0.42	7.29 +or- 0.54	
24.99	2159267	1200	25.01	r	21.24 +or- 0.44	2.72 +or- 1.41	
24.99	2159267	1200	25.01	i	20.92 +or- 0.43	6.83 +or- 1.54	
25.90	2237953	4879	26.05	r	21.10 +or- 0.43	5.15 +or- 0.70	
25.91	2238775	10000	26.08	i	20.91 +or- 0.42	6.82 +or- 0.58	
25.91	2238821	4161	26.08	Y	20.85 +or- 0.44	7.22 +or- 2.92	
25.91	2238821	4228	26.08	Z	20.78 +or- 0.43	-0.23 +or- 1.43	
25.92	2239618	5039	26.07	g	21.61 +or- 0.43	3.91 +or- 0.67	
26.91	2325407	3839	27.01	g	21.69 +or- 0.43	0.00 +or- 0.44	
26.92	2325639	5119	27.06	r	21.07 +or- 0.43	4.87 +or- 0.67	
26.92	2325639	8960	27.06	i	20.86 +or- 0.42	7.12 +or- 0.57	
26.92	2325685	3758	27.06	J	20.56 +or- 0.44	11.38 +or- 4.12	
26.92	2325688	3758	27.06	Z	20.72 +or- 0.43	6.95 +or- 1.48	
26.92	2325688	3758	27.06	Y	20.84 +or- 0.44	3.92 +or- 2.48	
27.90	2410506	5119	28.04	r	21.09 +or- 0.43	5.85 +or- 0.74	
27.91	2411320	10240	28.07	i	20.96 +or- 0.42	6.13 +or- 0.58	
27.91	2411368	4295	28.07	Z	20.84 +or- 0.43	0.76 +or- 1.29	
27.91	2411368	4295	28.07	Y	20.86 +or- 0.44	4.35 +or- 2.39	
27.92	2412156	5119	28.06	g	21.64 +or- 0.43	3.39 +or- 0.73	
28.90	2496872	4959	29.04	r	21.13 +or- 0.43	4.23 +or- 0.63	
28.91	2497696	10080	29.07	i	20.91 +or- 0.42	6.33 +or- 0.55	
28.91	2497747	4228	29.07	Y	20.70 +or- 0.43	4.82 +or- 1.99	
28.91	2497747	4228	29.07	Z	20.79 +or- 0.43	-0.11 +or- 1.18	
28.92	2498536	5119	29.06	g	21.75 +or- 0.43	3.35 +or- 0.63	
29.92	2584960	3520	30.02	r	21.15 +or- 0.43	4.92 +or- 0.66	
29.93	2586106	7119	30.06	i	21.00 +or- 0.42	5.39 +or- 0.59	
29.93	2586153	3020	30.06	Z	20.81 +or- 0.43	-1.40 +or- 1.53	
29.94	2586921	3440	30.05	g	21.78 +or- 0.43	2.83 +or- 0.63	
30.91	2670326	3199	31.00	g	21.90 +or- 0.43	2.35 +or- 0.63	
30.91	2670536	4879	31.05	r	21.30 +or- 0.43	2.88 +or- 0.63	
30.91	2670536	8080	31.05	i	20.97 +or- 0.42	5.52 +or- 0.57	
30.91	2670583	3355	31.05	Y	20.66 +or- 0.43	3.27 +or- 2.66	
30.91	2670583	3422	31.05	Z	20.66 +or- 0.43	3.83 +or- 1.43	
31.90	2756306	3680	32.00	g	21.82 +or- 0.43	2.53 +or- 0.53	
31.90	2756574	5119	32.05	r	21.22 +or- 0.42	2.92 +or- 0.57	
31.90	2756574	8800	32.05	i	21.00 +or- 0.42	5.30 +or- 0.54	
31.91	2756622	3691	32.05	Y	20.73 +or- 0.43	6.41 +or- 2.60	
31.91	2756622	3691	32.05	Z	20.81 +or- 0.43	3.59 +or- 1.38	
32.90	2842792	3440	33.00	g	21.83 +or- 0.43	2.21 +or- 0.54	
32.91	2843068	4879	33.05	r	21.22 +or- 0.43	2.78 +or- 0.60	
32.91	2843068	8319	33.05	i	21.01 +or- 0.42	5.33 +or- 0.57	
32.91	2843117	3557	33.05	Z	20.74 +or- 0.43	2.95 +or- 1.64	
33.90	2929382	3839	34.01	g	21.86 +or- 0.43	2.34 +or- 0.48	
33.91	2929674	4800	34.05	r	21.32 +or- 0.43	2.93 +or- 0.93	
33.91	2929674	8960	34.05	i	21.02 +or- 0.42	4.89 +or- 0.49	
34.89	3014902	3839	35.00	g	21.91 +or- 0.43	2.23 +or- 0.48	
34.90	3015214	8960	35.05	i	21.06 +or- 0.42	4.78 +or- 0.50	
35.90	3101699	3839	36.00	g	21.95 +or- 0.43	1.58 +or- 0.49	
35.90	3101980	8960	36.05	i	21.06 +or- 0.42	4.31 +or- 0.49	
35.90	3102033	2160	36.05	r	21.23 +or- 0.44	3.30 +or- 1.50	
36.89	3187381	3520	37.00	r	21.71 +or- 0.43	-0.70 +or- 0.77	
36.90	3188503	8080	37.04	i	21.08 +or- 0.42	4.42 +or- 0.52	
38.88	3359533	3839	38.98	r	21.33 +or- 0.43	2.55 +or- 0.58	
38.89	3360354	7680	39.01	i	21.13 +or- 0.42	3.64 +or- 0.53	
38.89	3360403	3221	39.01	Z	20.83 +or- 0.43	1.30 +or- 45.53	
38.90	3361179	3839	39.00	g	22.07 +or- 0.43	1.24 +or- 0.51	
39.90	3446958	7680	40.01	r	21.34 +or- 0.42	2.29 +or- 0.51	
39.90	3446958	7680	40.01	i	21.14 +or- 0.42	3.80 +or- 0.49	
39.90	3447005	6442	40.01	H	20.73 +or- 0.43	1.81 +or- 2.42	
39.90	3447006	6442	40.01	Y	20.93 +or- 0.43	2.26 +or- 0.94	
42.92	3708410	2640	42.99	i	21.23 +or- 0.43	4.70 +or- 8.51	
42.92	3708417	2214	42.99	Z	21.25 +or- 0.44	0.28 +or- 1.40	
44.88	3877978	6399	44.98	g	21.98 +or- 0.43	1.37 +or- 0.48	
44.88	3877978	6399	44.98	i	21.18 +or- 0.42	3.12 +or- 0.51	
46.89	4051373	6560	47.00	r	21.41 +or- 0.43	1.81 +or- 0.56	
46.89	4051373	6319	47.00	i	21.15 +or- 0.43	2.86 +or- 0.61	
50.87	4395336	3680	50.93	g	22.11 +or- 0.43	1.12 +or- 0.56	
50.87	4395336	3680	50.93	i	21.28 +or- 0.43	1.64 +or- 0.63	
51.88	4482266	5119	51.96	r	21.41 +or- 0.43	0.83 +or- 0.56	
51.88	4482267	5119	51.96	i	21.20 +or- 0.43	2.08 +or- 0.58	
51.88	4482314	4295	51.96	Y	21.06 +or- 0.43	3.62 +or- 1.61	
52.90	4570263	2560	52.94	i	21.23 +or- 0.43	2.51 +or- 0.74	
53.88	4655540	3839	53.94	r	21.36 +or- 0.43	2.56 +or- 0.63	
53.88	4655540	3839	53.94	i	21.16 +or- 0.43	2.54 +or- 0.64	
53.88	4655589	3221	53.94	Y	21.13 +or- 0.44	2.27 +or- 1.56	
54.88	4741565	4800	54.96	g	21.94 +or- 0.44	1.75 +or- 0.75	
54.88	4741565	5119	54.96	i	21.29 +or- 0.43	1.82 +or- 0.62	
54.88	4741615	2147	54.96	Y	20.74 +or- 0.44	4.30 +or- 3.39	
56.88	4914230	5119	56.96	r	21.54 +or- 0.43	-0.07 +or- 1.27	
56.88	4914230	5119	56.96	i	21.16 +or- 0.43	2.96 +or- 0.72	
56.88	4914278	4295	56.96	Y	20.99 +or- 0.43	1.86 +or- 1.99	
57.87	4999923	3839	57.93	i	21.40 +or- 0.43	0.99 +or- 0.83	
58.87	5086058	3839	58.92	r	21.39 +or- 0.43	1.18 +or- 0.66	
58.87	5086058	3839	58.92	i	21.15 +or- 0.43	2.11 +or- 0.68	
58.87	5086106	3221	58.92	Y	21.03 +or- 0.43	2.65 +or- 1.64	
59.87	5172391	3839	59.92	g	22.19 +or- 0.43	0.50 +or- 0.50	
59.87	5172391	3839	59.92	i	21.36 +or- 0.43	2.19 +or- 0.61	
65.86	5690438	2560	65.90	i	21.33 +or- 0.43	1.71 +or- 0.67	
65.86	5690438	2560	65.90	g	22.20 +or- 0.43	1.00 +or- 0.55	
66.86	5776448	2480	66.90	i	21.43 +or- 0.43	1.61 +or- 0.88	
66.86	5776448	2560	66.90	r	21.51 +or- 0.43	0.06 +or- 0.79	
215.15	18588991	8479	215.29	r	21.60 +or- 0.43	0.20 +or- 0.52	
215.15	18588991	8479	215.29	i	21.35 +or- 0.42	0.27 +or- 0.55	
217.15	18761668	8880	217.30	g	22.26 +or- 0.43	0.10 +or- 0.47	
217.15	18761668	8880	217.30	i	21.40 +or- 0.42	0.12 +or- 0.52	
217.15	18761678	3691	217.30	Z	21.07 +or- 0.43	-0.67 +or- 1.20	
219.14	18933938	4093	219.30	Z	21.17 +or- 0.43	1.71 +or- 1.18	
219.14	18933983	9920	219.31	r	21.57 +or- 0.42	0.12 +or- 0.49	
219.14	18933983	9920	219.31	i	21.41 +or- 0.42	0.63 +or- 0.51	
221.11	19104115	6319	221.23	g	22.25 +or- 0.43	0.33 +or- 0.54	
221.11	19104115	6560	221.23	i	21.46 +or- 0.43	0.31 +or- 0.79	
223.14	19279069	10240	223.30	r	21.61 +or- 0.42	0.27 +or- 0.50	
223.14	19279069	10240	223.30	i	21.45 +or- 0.42	0.83 +or- 0.53	
223.14	19279078	4295	223.30	Z	20.99 +or- 0.43	1.61 +or- 1.32	
229.14	19797449	4765	229.32	Z	21.06 +or- 0.43	-0.32 +or- 1.08	
229.14	19797488	11040	229.32	g	22.26 +or- 0.43	0.18 +or- 0.47	
229.14	19797488	11439	229.32	i	21.47 +or- 0.42	0.67 +or- 0.50	
231.13	19969644	10479	231.33	i	21.38 +or- 0.43	0.65 +or- 0.61	
231.13	19969803	10240	231.33	r	22.18 +or- 0.43	1.05 +or- 0.54	
303.53	26224942	28254	384.70	Y	21.16 +or- 0.43	1.31 +or- 0.75	
303.53	26224942	28389	384.70	Z	21.06 +or- 0.43	-0.51 +or- 0.59	
303.53	26224983	27986	384.70	J	21.36 +or- 0.43	2.10 +or- 0.93	
303.53	26224983	28694	384.70	H	20.86 +or- 0.44	1.64 +or- 1.79	
306.52	26483726	79599	395.67	r	21.58 +or- 0.42	0.26 +or- 0.46	
314.00	27129366	145272	418.10	i	21.44 +or- 0.42	0.01 +or- 0.45	
353.44	30537092	53200	378.66	g	22.25 +or- 0.42	0.10 +or- 0.45	
1152.86	99607079	23439	1192.87	r	21.57 +or- 0.42	0.00 +or- 0.44	
1153.36	99650438	63920	1194.37	i	21.46 +or- 0.42	-0.00 +or- 0.48	
1153.36	99650451	28456	1194.37	H	21.27 +or- 0.44	5.55 +or- 54.54	
1153.36	99650451	28657	1194.37	J	21.30 +or- 0.43	0.11 +or- 1.62	
1153.36	99650553	29463	1194.37	Y	21.34 +or- 0.43	0.00 +or- 0.96	
1153.36	99650553	29865	1194.37	Z	21.21 +or- 0.43	0.05 +or- 0.73	
1153.85	99692829	38160	1193.88	g	22.21 +or- 0.42	0.00 +or- 0.44	
