date	band	freq	time	flux_density	flux_density_limit	dflux_density	date_unit	freq_unit	time_unit	flux_density_unit	dtime	time_frame	instrument	reference	polarisation	position_angle
NaN	NaN	230.0	11.03300	8.9	0	0.4	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	345.0	3.47800	21.9	0	2.3	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	345.0	5.12600	17.0	0	0.8	NaN	GHz	days	milliJy	NaN	observer	ACA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	345.0	7.06900	12.9	0	0.1	NaN	GHz	days	milliJy	NaN	observer	ACA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	345.0	8.39800	15.8	1	NaN	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	345.0	11.18000	6.9	0	0.3	NaN	GHz	days	milliJy	NaN	observer	ACA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
2017-Dec-10-10:23-13:17	I	97.5	5.18700	31.944	0	0.44	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.27	-71.3
2017-Dec-10-10:23-13:17	Q	97.5	5.18700	-0.069	0	0.009	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.27	-71.0
2017-Dec-10-10:23-13:17	U	97.5	5.18700	-0.053	0	0.011	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.27	-71.0
2017-Dec-10-10:23-13:17	I	90.5	5.18700	32.719	0	0.413	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.3	-67.9
