date	time	integration	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime	instrument	reference
NaN	1.49703	624	V	20.72	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.56535	390	UVW1	21.34	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.60654	401	UVW1	21.45	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.62716	900	U	21.6	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.63353	184	B	20.91	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.64361	25 \times 400	R_{c}	22.84	0	0.11	NaN	days	unspecified	NaN	DFOSC	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.6761	900	B	22.19	0	0.47	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.69836	553	V	20.55	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	2.68139	53 \times 300	I_{c}	23.1	1	NaN	NaN	days	unspecified	NaN	DFOSC	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	3.63109	29 \times 300	I_{c}	22.74	0	0.19	NaN	days	unspecified	NaN	DFOSC	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	4.70414	21 \times 200	I_{c}	23.03	0	0.23	NaN	days	unspecified	NaN	DFOSC	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	10.05214	20,957	V	22.56	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
