time	obs_wavelength	flux	instrument	integration	integration_unit	time_unit	wavelength_unit	flux_unit	redshift	dtime	time_frame	rest_wavelength	reference
0.293	5317.199993	6.690802e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4930.180800185442	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5319.789993	6.71373e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4932.582283727399	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5322.379993	6.547731e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4934.983767269355	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5324.969993	8.000762e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4937.385250811311	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5327.559993	6.233217e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4939.786734353268	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5330.149993	6.342131e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4942.188217895225	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5332.739993	6.191325e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4944.589701437181	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5335.329993	6.560635e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4946.991184979138	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5337.919992	6.069025e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4949.39266759388	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5340.509992	7.003727e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4951.794151135837	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5343.099992	6.459575e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4954.195634677793	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5345.689992	6.945914e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4956.597118219749	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
