time	instrument	band	freq	flux_density	dflux_density	time_unit	freq_unit	flux_density_unit	extinction_corrected	time_frame	mag	mag_limit	dmag	mag_unit	dtime
4.448	LCO_Swope	B	688000000000000.0	0.04657	0.0005166	days	Hz	milliJy	False	observer	19.729734405168173	0	0.0120440481721719	AB	NaN
4.452	LCO_Swope	V	551000000000000.0	0.05946	0.002764	days	Hz	milliJy	False	observer	19.4644377378277	0	0.0504704821720731	AB	NaN
4.457	LCO_Swope	u'	834000000000000.0	0.03241	0.005344	days	Hz	milliJy	False	observer	20.123302422419474	0	0.179024198649412	AB	NaN
4.463	LCO_Swope	g'	646000000000000.0	0.04822	0.001352	days	Hz	milliJy	False	observer	19.691931984896414	0	0.030442043733575	AB	NaN
4.502	MPG_GROND	H	184000000000000.0	0.06042	0.004024	days	Hz	milliJy	False	observer	19.447048197656848	0	0.0723105343917032	AB	NaN
4.502	MPG_GROND	J	238000000000000.0	0.05214	0.002963	days	Hz	milliJy	False	observer	19.607072432919225	0	0.061699968828123	AB	NaN
4.504	MPG_GROND	i'	403000000000000.0	0.04831	0.0008981	days	Hz	milliJy	False	observer	19.6899074062837	0	0.0201842203579647	AB	NaN
4.504	MPG_GROND	g'	646000000000000.0	0.05649	0.00105	days	Hz	milliJy	False	observer	19.520071063159183	0	0.0201809703486641	AB	NaN
4.505	MPG_GROND	z'	337000000000000.0	0.05702	0.00106	days	Hz	milliJy	False	observer	19.509931967566395	0	0.0201838017720732	AB	NaN
4.505	MPG_GROND	r'	490000000000000.0	0.04571	0.0008498	days	Hz	milliJy	False	observer	19.749971946776675	0	0.0201850498097453	AB	NaN
5.498	MPG_GROND	K	137000000000000.0	0.04721	0.002682	days	Hz	milliJy	False	observer	19.714914998921863	0	0.061680671492508	AB	NaN
5.498	MPG_GROND	H	184000000000000.0	0.0546	0.004175	days	Hz	milliJy	False	observer	19.55701839323816	0	0.0830210376348935	AB	NaN
5.498	MPG_GROND	J	238000000000000.0	0.05119	0.002413	days	Hz	milliJy	False	observer	19.627037176124382	0	0.0511795558132714	AB	NaN
5.501	MPG_GROND	z'	337000000000000.0	0.05297	0.0009847	days	Hz	milliJy	False	observer	19.589925067661007	0	0.0201835839310049	AB	NaN
5.501	MPG_GROND	i'	403000000000000.0	0.04529	0.000842	days	Hz	milliJy	False	observer	19.75999419829261	0	0.0201852480548983	AB	NaN
5.501	MPG_GROND	r'	490000000000000.0	0.04613	0.0008577	days	Hz	milliJy	False	observer	19.74004136347933	0	0.0201872088190125	AB	NaN
5.501	MPG_GROND	g'	646000000000000.0	0.05297	0.001484	days	Hz	milliJy	False	observer	19.589925067661007	0	0.0304178313736277	AB	NaN
5.858	FTS_2m	r'	490000000000000.0	0.03837	0.002555	days	Hz	milliJy	False	observer	19.94002050200421	0	0.0722975241896539	AB	NaN
5.861	FTS_2m	i'	403000000000000.0	0.04093	0.003537	days	Hz	milliJy	False	observer	19.86989563838683	0	0.0938247973669558	AB	NaN
6.336	VLT	I	376000000000000.0	0.03901	0.000361	days	Hz	milliJy	False	observer	19.92206012422052	0	0.0100474434739216	AB	NaN
6.336	VLT	R	467000000000000.0	0.0393	0.0003636	days	Hz	milliJy	False	observer	19.91401862406144	0	0.0100451319096706	AB	NaN
6.336	VLT	V	551000000000000.0	0.05258	0.0004865	days	Hz	milliJy	False	observer	19.59794854557414	0	0.0100458475392702	AB	NaN
6.336	VLT	B	688000000000000.0	0.03257	0.0003014	days	Hz	milliJy	False	observer	20.117955603587816	0	0.0100473101662296	AB	NaN
6.487	MPG_GROND	H	184000000000000.0	0.06098	0.007127	days	Hz	milliJy	False	observer	19.4370314499266	0	0.1268947512514134	AB	NaN
6.487	MPG_GROND	J	238000000000000.0	0.05932	0.005127	days	Hz	milliJy	False	observer	19.466997144109136	0	0.0938396750134007	AB	NaN
6.487	MPG_GROND	r'	490000000000000.0	0.04742	0.001329	days	Hz	milliJy	False	observer	19.71009612589458	0	0.0304290049794085	AB	NaN
6.488	MPG_GROND	z'	337000000000000.0	0.05012	0.001881	days	Hz	milliJy	False	observer	19.64997234419472	0	0.0407476017787318	AB	NaN
6.488	MPG_GROND	i'	403000000000000.0	0.04613	0.001292	days	Hz	milliJy	False	observer	19.74004136347933	0	0.0304090868534034	AB	NaN
6.488	MPG_GROND	g'	646000000000000.0	0.04529	0.001269	days	Hz	milliJy	False	observer	19.75999419829261	0	0.0304217099544726	AB	NaN
7.246	TNG	I	376000000000000.0	0.04397	0.002072	days	Hz	milliJy	False	observer	19.79210883595073	0	0.0511631889074106	AB	NaN
7.246	TNG	R	467000000000000.0	0.04725	0.0008784	days	Hz	milliJy	False	observer	19.7139954678868	0	0.0201843530636939	AB	NaN
7.246	TNG	V	551000000000000.0	0.06149	0.005932	days	Hz	milliJy	False	observer	19.427988767388378	0	0.1047420258029797	AB	NaN
