time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit	mag_type	extinction_corrected	time_frame	dtime	reference	freq	flux_density	dflux_density	freq_unit	flux_density_unit	date	date_unit
40.165	20.19	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42.345	20.25	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47.389	20.33	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51.186	20.49	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.34	20.49	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70.101	20.55	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71.145	20.45	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.285	17.86	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.3	17.9	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.311	17.9	0	0.02	z	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.557	19.01	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
