col1	col2	col3	col4	col5	col6	col7
87.452	0.426	-0.337	6.75703392e-08	1.013830272e-08	-1.7538976e-08	4
88.248	0.388	-0.370	5.297719336e-08	8.77437288e-09	-1.41461684e-08	4
88.937	0.333	-0.301	6.390073144e-08	1.014247416e-08	-1.7060862e-08	4
89.562	0.305	-0.293	6.57920172e-08	1.045419648e-08	-1.756931176e-08	4
90.217	0.369	-0.350	5.243298424e-08	8.60635776e-09	-1.416853984e-08	4
91.010	0.355	-0.424	4.941669096e-08	7.95273752e-09	-1.326737776e-08	4
91.756	0.341	-0.390	5.191438616e-08	8.56640512e-09	-1.40178584e-08	4
92.465	0.387	-0.369	5.056522744e-08	8.37951296e-09	-1.364167896e-08	4
93.195	0.312	-0.343	5.839849288e-08	9.42214e-09	-1.508303888e-08	4
93.827	0.353	-0.320	5.848179792e-08	9.27545528e-09	-1.393517216e-08	4
94.604	0.400	-0.424	6.90942252e-08	9.92000464e-09	-1.623710088e-08	4
95.410	0.400	-0.406	4.744073152e-08	7.78795472e-09	-1.276564016e-08	4
96.175	0.357	-0.366	5.331307072e-08	8.86821936e-09	-1.43697372e-08	4
96.889	0.388	-0.357	5.275923744e-08	8.66435024e-09	-1.4143038e-08	4
97.631	0.317	-0.354	5.70043656e-08	9.58316632e-09	-1.542463104e-08	4
98.263	0.393	-0.315	5.399660448e-08	8.97960336e-09	-1.464246784e-08	4
99.054	0.371	-0.398	5.117157136e-08	8.38210464e-09	-1.375625888e-08	4
99.830	0.395	-0.406	5.217494464e-08	8.61007784e-09	-1.404440128e-08	4
100.597	0.372	-0.371	5.601830416e-08	9.208108e-09	-1.505130536e-08	4
101.365	0.358	-0.396	5.569668832e-08	8.93260368e-09	-1.455970152e-08	4
102.377	0.510	-0.653	3.529250088e-08	5.90208164e-09	-9.61886744e-09	4
103.299	0.436	-0.412	4.663023456e-08	7.85793008e-09	-1.291346056e-08	4
104.278	0.395	-0.543	4.544837752e-08	7.23185008e-09	-1.235854984e-08	4
105.061	0.436	-0.388	5.057478608e-08	8.06952328e-09	-1.384583928e-08	4
105.966	0.374	-0.469	4.946802224e-08	8.17553464e-09	-1.34733508e-08	4
106.830	0.414	-0.490	4.60947396e-08	7.51023e-09	-1.25637876e-08	4
107.633	0.406	-0.389	5.276017656e-08	8.6238516e-09	-1.45295332e-08	4
108.440	0.400	-0.400	5.3526018e-08	8.53868288e-09	-1.460789512e-08	4
109.359	0.523	-0.519	3.99592648e-08	6.620217968e-09	-1.105131664e-08	4
110.372	0.473	-0.490	4.548539632e-08	7.36580208e-09	-1.243721752e-08	4
111.295	0.391	-0.450	5.630022216e-08	9.01767048e-09	-1.53861708e-08	4
112.065	0.405	-0.378	6.05212972e-08	9.9196188e-09	-1.666584192e-08	4
112.972	0.428	-0.502	4.704534016e-08	7.97944056e-09	-1.314210352e-08	4
113.990	0.513	-0.590	3.96849908e-08	6.751048304e-09	-1.108615144e-08	4
115.011	0.549	-0.508	4.359112576e-08	7.07002296e-09	-1.19647892e-08	4
116.037	0.565	-0.478	4.324459048e-08	7.226762816e-09	-1.199465904e-08	4
116.993	0.411	-0.391	5.618861248e-08	9.2438892e-09	-1.550033576e-08	4
117.970	0.448	-0.566	4.47806996e-08	7.40835368e-09	-1.237656056e-08	4
119.004	0.460	-0.586	4.341069824e-08	7.09059624e-09	-1.192975784e-08	4
120.037	0.554	-0.573	4.06146468e-08	6.626512256e-09	-1.116269336e-08	4
121.216	0.576	-0.625	3.808555296e-08	6.081128144e-09	-1.039571624e-08	4
122.320	0.451	-0.528	4.674072312e-08	7.46252416e-09	-1.274581672e-08	4
123.306	0.631	-0.536	3.890754504e-08	6.266819104e-09	-1.064210784e-08	4
124.443	0.557	-0.505	4.250270752e-08	6.96214792e-09	-1.170709176e-08	4
125.493	0.519	-0.493	4.55034216e-08	7.35062328e-09	-1.244402432e-08	4
126.570	0.435	-0.558	3.720683512e-08	5.38998824e-09	-6.864092144e-09	4
127.377	0.413	-0.372	3.223213448e-08	4.275779144e-09	-4.2336476e-09	4
