time	band	mag	mag_limit	dmag	mag_unit	time_unit	mag_type	time_frame	extinction_corrected	instrument	dtime	reference	exinction_corrected	integration	integration_unit
0.0037962962962962	v	17.32	0	0.26	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0040856481481481	v	17.7	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.004375	v	17.79	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0046643518518518	v	17.17	0	0.24	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0049537037037037	v	16.99	0	0.22	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0052430555555555	v	17.03	0	0.22	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0055324074074074	v	17.26	0	0.27	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0058217592592592	v	17.12	0	0.23	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0061111111111111	v	16.88	0	0.19	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0064004629629629	v	17.42	0	0.31	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0066898148148148	v	17.2	0	0.26	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0069791666666666	v	17.46	0	0.3	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0072685185185185	v	16.89	0	0.21	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0090046296296296	v	17.27	0	0.28	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0113194444444444	v	17.59	0	0.34	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0116087962962962	v	17.66	0	0.33	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0118981481481481	v	17.55	0	0.35	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0121875	v	16.94	0	0.19	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0124768518518518	v	17.6	0	0.32	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0127662037037037	v	17.02	0	0.21	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0130555555555555	v	17.4	0	0.29	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0133449074074074	v	17.73	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0136342592592592	v	17.37	0	0.27	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0139236111111111	v	16.97	0	0.2	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0142129629629629	v	17.43	0	0.29	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0145023148148148	v	16.86	0	0.19	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0147916666666666	v	17.7	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0150810185185185	v	16.94	0	0.19	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0153703703703703	v	17.42	0	0.29	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0156597222222222	v	17.08	0	0.22	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0173958333333333	v	17.19	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0176851851851851	v	17.81	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0194212962962962	v	16.96	0	0.27	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0013888888888888	v	17.07	0	0.31	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	9.0	seconds
