date	seeing	instrument	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit	time_frame	dtime	reference	integration	integration_unit
NaN	NaN	SMARTS	I	19.17	0	0.03	NaN	unspecified	78.2	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.25	0	0.03	NaN	unspecified	92.19	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.28	0	0.06	NaN	unspecified	2.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.38	0	0.06	NaN	unspecified	3.33	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.32	0	0.06	NaN	unspecified	5.38	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.18	0	0.06	NaN	unspecified	6.38	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.19	0	0.06	NaN	unspecified	7.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.17	0	0.06	NaN	unspecified	8.33	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.19	0	0.06	NaN	unspecified	9.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.19	0	0.06	NaN	unspecified	10.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.1	0	0.06	NaN	unspecified	11.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.03	0	0.06	NaN	unspecified	12.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.25	0	0.09	NaN	unspecified	13.36	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.09	0	0.06	NaN	unspecified	15.35	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.13	0	0.06	NaN	unspecified	17.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	17.97	0	0.06	NaN	unspecified	20.37	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.12	0	0.06	NaN	unspecified	23.36	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.01	0	0.06	NaN	unspecified	26.33	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.05	0	0.06	NaN	unspecified	30.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.02	0	0.06	NaN	unspecified	38.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.19	0	0.06	NaN	unspecified	50.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.27	0	0.09	NaN	unspecified	57.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.29	0	0.06	NaN	unspecified	69.24	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.32	0	0.06	NaN	unspecified	78.2	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	J	18.29	0	0.06	NaN	unspecified	92.19	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
