band	instrument	time	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	extinction	dtime	reference
R	FTN	0.027381944444444445	60.0	20.2	0	0.24	0.0274	0.0061	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
I	KAIT	0.0155	180.0	18.99	0	0.12	0.0966	0.0107	days	seconds	AB	apparent	milliJy	observer	False	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	FTN	0.032905555555555556	30.0	20.37	0	0.16	0.0234	0.0034	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
I	KAIT	0.022062500000000002	300.0	20.18	0	0.48	0.0323	0.0147	days	seconds	AB	apparent	milliJy	observer	False	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	FTN	0.03605138888888889	60.0	20.4	0	0.16	0.0228	0.0033	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
i′	FTN	0.032391666666666666	40.02	20.73	0	0.32	0.0194	0.0058	days	seconds	AB	apparent	milliJy	observer	False	0.05	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	FTN	0.04083958333333333	120.0	20.46	0	0.12	0.0216	0.0023	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
i′	FTN	0.037290277777777776	60.0	20.58	0	0.17	0.0223	0.0035	days	seconds	AB	apparent	milliJy	observer	False	0.05	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	FTN	0.0477125	180.0	20.92	0	0.15	0.0141	0.0019	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
i′	FTN	0.04209375	120.0	20.9	0	0.16	0.0166	0.0024	days	seconds	AB	apparent	milliJy	observer	False	0.05	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	FTN	0.054599305555555554	120.0	21.1	0	0.2	0.0119	0.0022	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
i′	FTN	0.05035069444444445	180.0	20.96	0	0.14	0.0157	0.002	days	seconds	AB	apparent	milliJy	observer	False	0.05	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	FTN	0.06155694444444445	180.0	21.3	0	0.21	0.0099	0.0019	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
i′	FTN	0.056531250000000005	120.0	20.96	0	0.16	0.0157	0.0023	days	seconds	AB	apparent	milliJy	observer	False	0.05	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	FTN	0.07041666666666667	240.0	21.15	0	0.15	0.0114	0.0015	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
i′	FTN	0.06416597222222221	180.0	21.58	0	0.3	0.0089	0.0024	days	seconds	AB	apparent	milliJy	observer	False	0.05	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
