date	obs_wavelength	flux	sky_flux	redshift	instrument	date_unit	wavelength_unit	flux_unit
2020-02-08T05:52:18	5584.00	0.884895	5369.24	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5593.20	0.905395	2971.66	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5602.40	0.981509	2736.74	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5611.60	0.927058	2702.71	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5620.80	0.873025	2733.93	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5630.00	0.820767	2740.99	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5639.20	0.873867	2682.61	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5648.40	0.865260	2667.75	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5657.60	0.941991	2581.59	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5666.80	0.858539	2628.86	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5676.00	0.879366	2600.28	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5685.20	0.855463	2596.32	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5694.40	0.825507	2562.82	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5703.60	0.899212	2495.34	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5712.80	0.868225	2474.11	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5722.00	0.800927	2502.14	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5731.20	0.867118	2516.54	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5740.40	0.822446	2467.83	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5749.60	0.730051	2450.88	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5758.80	0.687654	2438.98	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5768.00	0.796517	2404.81	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5777.20	0.830764	2375.04	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5786.40	0.808217	2388.81	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5795.60	0.782841	2378.35	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5804.80	0.808362	2431.15	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5814.00	0.782264	2433.58	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
