time	obs_wavelength	flux	instrument	time_unit	wavelength_unit	flux_unit	redshift
3.7	4262.6	7.662000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4288.1	7.272000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4313.7	7.156000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4339.3	7.227000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4364.8	7.304000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4390.4	7.361000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4416.0	7.818000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4441.6	7.461000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4467.1	7.540000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4492.7	8.345000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4518.3	7.537000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4543.8	6.841000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4569.4	6.405000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4595.0	7.134000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4620.5	6.582000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4646.1	7.234000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4671.7	7.373000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4697.3	6.624000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4722.8	5.903000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4748.4	5.892000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4774.0	5.948000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4799.5	5.863000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4825.1	6.280000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4850.7	6.264000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
