date	time	instrument	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime
58906.5381	23.87	P48+ZTF	g	17.41	0	0.05	MJD	days	AB	NaN
58906.539	23.87	P48+ZTF	g	17.45	0	0.06	MJD	days	AB	NaN
58906.5551	23.89	P48+ZTF	i	16.88	0	0.04	MJD	days	AB	NaN
58908.3226	25.65	Swift+UVOT	UVW1	19.63	0	0.01	MJD	days	AB	NaN
58908.3236	25.65	Swift+UVOT	U	20.53	0	0.01	MJD	days	AB	NaN
58908.3243	25.65	Swift+UVOT	B	18.19	0	0.01	MJD	days	AB	NaN
58908.3259	25.66	Swift+UVOT	UVW2	20.45	0	0.01	MJD	days	AB	NaN
58908.3275	25.66	Swift+UVOT	V	16.99	0	0.01	MJD	days	AB	NaN
58908.3288	25.66	Swift+UVOT	UVM2	21.54	0	0.01	MJD	days	AB	NaN
58908.4122	25.74	P48+ZTF	i	16.98	0	0.03	MJD	days	AB	NaN
58908.4158	25.75	P60+SEDM	r	16.77	0	0.02	MJD	days	AB	NaN
58908.4258	25.76	P48+ZTF	i	16.99	0	0.03	MJD	days	AB	NaN
58908.4624	25.79	P48+ZTF	r	16.73	0	0.04	MJD	days	AB	NaN
58908.4949	25.82	P48+ZTF	r	16.76	0	0.04	MJD	days	AB	NaN
58908.5315	25.86	P48+ZTF	g	17.46	0	0.09	MJD	days	AB	NaN
58908.5565	25.89	P48+ZTF	g	17.45	0	0.05	MJD	days	AB	NaN
58909.175	26.5	LT+IOO	r	16.75	0	0.02	MJD	days	AB	NaN
58909.1758	26.51	LT+IOO	i	17.03	0	0.02	MJD	days	AB	NaN
58909.1766	26.51	LT+IOO	g	17.54	0	0.02	MJD	days	AB	NaN
58909.1775	26.51	LT+IOO	u	19.98	0	0.07	MJD	days	AB	NaN
58909.1789	26.51	LT+IOO	z	16.66	0	0.01	MJD	days	AB	NaN
58911.2535	28.58	P48+ZTF	i	17.07	0	0.05	MJD	days	AB	NaN
58911.3516	28.68	P48+ZTF	i	17.14	0	0.03	MJD	days	AB	NaN
58911.4256	28.76	P48+ZTF	g	17.85	0	0.06	MJD	days	AB	NaN
58911.4265	28.76	P48+ZTF	g	17.89	0	0.07	MJD	days	AB	NaN
58911.4766	28.81	P48+ZTF	r	16.87	0	0.04	MJD	days	AB	NaN
58911.4826	28.81	P48+ZTF	r	16.87	0	0.04	MJD	days	AB	NaN
58911.4836	28.81	P48+ZTF	r	16.85	0	0.04	MJD	days	AB	NaN
58911.551	28.88	P48+ZTF	g	17.85	0	0.07	MJD	days	AB	NaN
58911.5515	28.88	P48+ZTF	g	17.81	0	0.08	MJD	days	AB	NaN
58911.5533	28.88	P48+ZTF	g	17.73	0	0.07	MJD	days	AB	NaN
58911.5538	28.88	P48+ZTF	g	17.79	0	0.06	MJD	days	AB	NaN
58912.1515	29.48	LT+IOO	r	16.94	0	0.02	MJD	days	AB	NaN
58912.1523	29.48	LT+IOO	i	17.21	0	0.02	MJD	days	AB	NaN
58912.1532	29.48	LT+IOO	g	17.75	0	0.01	MJD	days	AB	NaN
58912.154	29.48	LT+IOO	u	20.15	0	0.1	MJD	days	AB	NaN
58912.1554	29.49	LT+IOO	z	16.81	0	0.02	MJD	days	AB	NaN
58912.3746	29.7	P48+ZTF	i	17.19	0	0.03	MJD	days	AB	NaN
58912.3792	29.71	P48+ZTF	i	17.16	0	0.04	MJD	days	AB	NaN
58912.4747	29.8	P48+ZTF	r	16.95	0	0.04	MJD	days	AB	NaN
58912.4973	29.83	P48+ZTF	r	16.96	0	0.04	MJD	days	AB	NaN
58912.5209	29.85	P48+ZTF	g	17.93	0	0.08	MJD	days	AB	NaN
58912.5468	29.88	P48+ZTF	g	17.94	0	0.07	MJD	days	AB	NaN
