date	obs_wavelength	flux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength	reference
2017-11-01.25	8851.022	9.256186e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6654.903759398497	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8911.041	9.451192e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6700.030827067668	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8971.059	7.077798e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6745.157142857142	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9031.077	9.020516e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6790.283458646616	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9091.095	8.403188e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6835.40977443609	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9151.113	8.704438e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6880.536090225563	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9211.132	9.110786e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6925.663157894736	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9271.15	8.698944e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6970.78947368421	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9331.168	6.991234e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7015.915789473684	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9391.186	7.732240e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7061.042105263157	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9451.205	7.630840e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7106.16917293233	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9511.223	6.796166e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7151.295488721804	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9571.241	7.639966e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7196.4218045112775	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9631.26	6.636368e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7241.548872180451	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9691.278	6.454218e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7286.675187969925	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9751.296	5.572512e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7331.801503759399	https://www.wis-tns.org/object/2017htp
2017-11-01.25	9954.36	7.346942e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7484.481203007519	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10014.38	3.942710e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7529.60902255639	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10074.4	1.445073e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7574.736842105262	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10134.42	1.533747e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7619.864661654135	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10194.43	5.235526e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7664.984962406015	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10254.45	4.772862e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7710.112781954887	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10314.47	2.006638e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7755.240601503759	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10374.49	4.083314e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7800.368421052631	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10434.51	5.458362e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7845.496240601504	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10494.52	1.990221e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7890.616541353384	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10554.54	2.279445e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7935.744360902256	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10614.56	5.253042e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	7980.872180451127	https://www.wis-tns.org/object/2017htp
2017-11-01.25	10674.58	7.019408e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	8025.999999999999	https://www.wis-tns.org/object/2017htp
