date	obs_wavelength	flux	dflux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength
2018-08-21.078	3825.1120000000246	5.559186e-18	1.606768e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3424.4512085944716
2018-08-21.078	3835.1140000000246	5.095403e-18	1.545163e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3433.405550581938
2018-08-21.078	3845.1160000000255	5.177633e-18	1.677526e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3442.359892569405
2018-08-21.078	3855.1180000000254	9.671477e-18	1.623921e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3451.3142345568713
2018-08-21.078	3865.120000000026	9.321518e-18	1.674072e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3460.2685765443384
2018-08-21.078	3875.122000000026	2.461130e-18	1.521141e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3469.222918531805
2018-08-21.078	3885.124000000027	7.019910e-18	1.462256e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3478.1772605192723
2018-08-21.078	3895.126000000027	6.979073e-18	1.541392e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3487.1316025067385
2018-08-21.078	3905.128000000028	8.093373e-18	1.481404e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3496.0859444942057
2018-08-21.078	3915.130000000028	8.022836e-18	1.527711e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3505.0402864816724
2018-08-21.078	3925.1320000000287	3.158554e-18	1.328095e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3513.9946284691396
2018-08-21.078	3935.1340000000287	7.741768e-18	1.033493e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3522.948970456606
2018-08-21.078	3945.1360000000295	7.169950e-18	1.352603e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3531.903312444073
2018-08-21.078	3955.1380000000295	4.315827e-18	1.480397e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3540.8576544315392
2018-08-21.078	3965.1400000000303	5.156942e-18	1.206488e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3549.8119964190064
2018-08-21.078	3975.142000000031	7.506784e-18	1.339662e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3558.766338406474
2018-08-21.078	3985.144000000031	9.113752e-18	1.605606e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3567.7206803939403
2018-08-21.078	3995.146000000032	6.461275e-18	1.647166e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3576.6750223814074
2018-08-21.078	4005.148000000032	1.005987e-17	1.681790e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3585.6293643688737
2018-08-21.078	4015.150000000032	1.041777e-17	1.709055e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3594.5837063563404
2018-08-21.078	4025.152000000033	8.147358e-18	1.719086e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3603.5380483438075
2018-08-21.078	4035.1540000000327	1.116396e-17	1.647806e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3612.492390331274
2018-08-21.078	4045.1560000000336	5.802682e-18	1.617367e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3621.446732318741
2018-08-21.078	4055.1580000000336	8.200134e-18	1.619252e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3630.401074306207
2018-08-21.078	4065.1600000000335	8.356158e-18	1.669396e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3639.355416293674
2018-08-21.078	4075.1620000000335	8.659792e-18	1.628906e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3648.30975828114
2018-08-21.078	4085.1640000000352	7.762121e-18	1.632330e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3657.264100268608
2018-08-21.078	4095.166000000036	7.046814e-18	1.545366e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3666.2184422560754
2018-08-21.078	4105.168000000036	8.312380e-18	1.419662e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3675.1727842435416
2018-08-21.078	4115.170000000036	7.723758e-18	1.479003e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3684.1271262310083
2018-08-21.078	4125.172000000037	1.210040e-17	1.457931e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3693.0814682184755
2018-08-21.078	4135.174000000036	1.219038e-17	1.422331e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3702.0358102059413
2018-08-21.078	4145.176000000038	9.997359e-18	1.410980e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3710.990152193409
2018-08-21.078	4155.178000000038	1.128590e-17	1.391598e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3719.9444941808756
