instrument	time	integration	wavelength	flux_density	dflux_density	band	mag	mag_limit	dmag	time_unit	exposure_unit	wavelength_unit	flux_density_unit	mag_unit	reference	date	seeing	date_unit
OGLE 1.3 m	1.4574	NaN	NaN	NaN	NaN	I	20.6	0	0.1	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.2400	NaN	yyyy-month-deciday
OGLE 1.3 m	1.4853	NaN	NaN	NaN	NaN	V	21.19	0	0.1	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.2679	NaN	yyyy-month-deciday
Baade 6.5 m	1.5323	NaN	NaN	NaN	NaN	R	21.41	0	0.5	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.3149	NaN	yyyy-month-deciday
CTIO 4 m	1.5351	NaN	NaN	NaN	NaN	R	21.43	0	0.4	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.3177	NaN	yyyy-month-deciday
Baade 6.5 m	1.5375	NaN	NaN	NaN	NaN	R	21.4	0	0.6	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.3201	NaN	yyyy-month-deciday
CTIO 4 m	1.5405	NaN	NaN	NaN	NaN	B	22.86	0	0.6	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.3231	NaN	yyyy-month-deciday
CTIO 4 m	1.5501	NaN	NaN	NaN	NaN	U	22.4	0	0.2	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.3327	NaN	yyyy-month-deciday
CTIO 4 m	1.5624	NaN	NaN	NaN	NaN	I	20.86	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-23.3450	NaN	yyyy-month-deciday
Baade 6.5 m	2.578	NaN	NaN	NaN	NaN	R	22.24	0	0.12	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-24.361	NaN	yyyy-month-deciday
Baade 6.5 m	7.53	NaN	NaN	NaN	NaN	J	22.31	0	0.15	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-29.31	NaN	yyyy-month-deciday
Baade 6.5 m	8.52	NaN	NaN	NaN	NaN	J	22.09	0	0.15	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-30.30	NaN	yyyy-month-deciday
Baade 6.5 m	9.52	NaN	NaN	NaN	NaN	J	22.11	0	0.15	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-1.30	NaN	yyyy-month-deciday
Baade 6.5 m	12.55	NaN	NaN	NaN	NaN	R	23.07	0	0.15	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-4.33	NaN	yyyy-month-deciday
HST	13.12	NaN	NaN	NaN	NaN	F450W	24.67	0	0.13	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-4.90	NaN	yyyy-month-deciday
HST	13.19	NaN	NaN	NaN	NaN	F555W	23.87	0	0.1	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-4.97	NaN	yyyy-month-deciday
HST	13.26	NaN	NaN	NaN	NaN	F702W	23.14	0	0.7	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-5.04	NaN	yyyy-month-deciday
Baade 6.5 m	13.55	NaN	NaN	NaN	NaN	R	23.11	0	0.12	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-5.33	NaN	yyyy-month-deciday
HST	14.05	NaN	NaN	NaN	NaN	F814W	22.78	0	0.8	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-5.83	NaN	yyyy-month-deciday
HST	14.16	NaN	NaN	NaN	NaN	F850LP	22.78	0	0.13	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-5.94	NaN	yyyy-month-deciday
Baade 6.5 m	14.57	NaN	NaN	NaN	NaN	R	23.23	0	0.15	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-6.35	NaN	yyyy-month-deciday
