col1	col2	col3	col4	col5	col6	col7
15545.565	16.678	-18.424	1.971489e+00	4.462821e-01	-4.462821e-01	7
15582.675	12.164	-20.431	2.153964e+00	4.823766e-01	-4.823766e-01	7
15615.789	19.167	-20.950	1.838168e+00	4.028764e-01	-4.028764e-01	7
15660.321	24.782	-25.365	1.454397e+00	3.196967e-01	-3.196967e-01	7
15715.839	24.425	-30.736	1.324639e+00	2.907488e-01	-2.907488e-01	7
15764.514	23.376	-24.250	1.710848e+00	3.586386e-01	-3.586386e-01	7
20629.325	13.541	-14.040	1.845914e+00	4.180436e-01	-4.180436e-01	7
20661.326	14.135	-18.461	1.760335e+00	3.758447e-01	-3.758447e-01	7
20689.249	16.299	-13.789	1.704797e+00	3.818077e-01	-3.818077e-01	7
20728.362	22.318	-22.814	1.137038e+00	2.570933e-01	-2.570933e-01	7
20782.017	23.825	-31.336	9.309582e-01	2.091602e-01	-2.091602e-01	7
20825.395	23.071	-19.553	1.198502e+00	2.692699e-01	-2.692699e-01	7
20871.904	31.724	-23.437	9.191958e-01	2.078374e-01	-2.078374e-01	7
20927.443	23.820	-23.815	1.069432e+00	2.425820e-01	-2.425820e-01	7
49551.086	63.200	-64.674	3.498942e-01	7.862975e-02	-7.862975e-02	7
49653.144	51.406	-38.859	4.109554e-01	9.244634e-02	-9.244634e-02	7
49759.451	50.407	-54.901	3.338130e-01	7.479163e-02	-7.479163e-02	7
49887.896	77.417	-78.038	3.158706e-01	6.777278e-02	-6.777278e-02	7
50030.482	85.272	-65.169	3.007859e-01	6.779721e-02	-6.779721e-02	7
50147.718	38.241	-31.965	6.531196e-01	1.469187e-01	-1.469187e-01	7
50268.979	79.957	-83.020	2.925222e-01	6.444399e-02	-6.444399e-02	7
50393.311	35.859	-44.376	3.553369e-01	7.961797e-02	-7.961797e-02	7
50471.913	45.014	-42.743	3.701002e-01	8.292589e-02	-8.292589e-02	7
50577.987	44.249	-61.060	4.619090e-01	1.017607e-01	-1.017607e-01	7
50673.631	38.869	-51.395	5.233450e-01	1.172568e-01	-1.172568e-01	7
50767.654	40.125	-55.154	4.818393e-01	1.082810e-01	-1.082810e-01	7
50856.413	39.122	-48.635	5.446450e-01	1.221508e-01	-1.221508e-01	7
50979.157	61.805	-83.621	3.279059e-01	7.189545e-02	-7.189545e-02	7
51102.757	51.034	-61.796	4.104509e-01	9.214622e-02	-9.214622e-02	7
51230.007	66.702	-76.216	3.344219e-01	7.318482e-02	-7.318482e-02	7
51348.230	41.250	-51.521	4.960809e-01	1.111482e-01	-1.111482e-01	7
51461.174	53.673	-71.693	3.605504e-01	8.110552e-02	-8.110552e-02	7
51566.989	48.151	-52.142	4.521953e-01	1.014165e-01	-1.014165e-01	7
51702.255	48.280	-87.115	3.293085e-01	7.430069e-02	-7.430069e-02	7
51788.642	34.606	-38.107	3.440781e-01	7.717407e-02	-7.717407e-02	7
51872.886	48.148	-49.638	3.111005e-01	7.005701e-02	-7.005701e-02	7
52016.899	59.589	-95.865	2.978028e-01	5.782754e-02	-5.782754e-02	7
66929.343	45.141	-62.674	2.250829e-01	5.057778e-02	-5.057778e-02	7
67027.383	54.916	-52.899	2.241324e-01	5.011752e-02	-5.011752e-02	7
67140.852	66.815	-58.552	2.004571e-01	4.410332e-02	-4.410332e-02	7
67256.051	54.416	-48.385	2.332787e-01	5.248400e-02	-5.248400e-02	7
67353.627	29.553	-43.160	3.476540e-01	7.604166e-02	-7.604166e-02	7
67431.950	28.958	-48.770	3.247863e-01	7.112299e-02	-7.112299e-02	7
67507.037	44.135	-46.129	2.663122e-01	5.976876e-02	-5.976876e-02	7
67573.610	25.200	-22.439	5.057799e-01	1.132345e-01	-1.132345e-01	7
67647.820	51.284	-49.010	2.402451e-01	5.378630e-02	-5.378630e-02	7
67750.123	39.246	-51.018	2.666233e-01	5.976513e-02	-5.976513e-02	7
67833.124	31.465	-43.756	3.359717e-01	7.348644e-02	-7.348644e-02	7
67899.436	50.402	-34.848	2.799078e-01	6.328663e-02	-6.328663e-02	7
67992.959	42.128	-43.121	2.815872e-01	6.327471e-02	-6.327471e-02	7
68096.882	51.036	-61.794	2.122560e-01	4.781313e-02	-4.781313e-02	7
68197.179	48.525	-49.261	2.458152e-01	5.516859e-02	-5.516859e-02	7
68288.700	52.282	-42.997	2.522788e-01	5.661924e-02	-5.661924e-02	7
68389.369	36.862	-48.387	2.819355e-01	6.327511e-02	-6.327511e-02	7
68462.082	39.369	-35.851	3.199181e-01	7.171147e-02	-7.171147e-02	7
68553.343	63.446	-51.891	2.081660e-01	4.677643e-02	-4.677643e-02	7
68678.960	53.165	-62.172	2.077103e-01	4.678916e-02	-4.678916e-02	7
