date	time	mag	mag_limit	dmag	dmag2	instrument	band	date_unit	time_frame	time_unit	mag_unit	extinction_corrected	dtime	reference
NaN	16.04500	19.49	0	0.04	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	7.06100	20.25	0	0.05	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	17.02300	19.52	0	0.02	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	7.94000	20.14	0	0.03	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	19.92200	19.71	0	0.02	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	9.95600	20.13	0	0.03	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	22.97800	19.83	0	0.02	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	10.96500	20.19	0	0.06	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	25.95600	20.07	0	0.03	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	16.98700	21.18	0	0.07	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	29.94100	20.54	0	0.04	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	17.86300	21.3	0	0.05	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	33.90100	20.83	0	0.04	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	19.95800	21.44	0	0.13	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	36.90100	21.08	0	0.07	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	22.99400	21.83	0	0.11	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	37.98800	21.2	0	0.13	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	25.95500	21.88	0	0.16	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	45.92100	21.36	0	0.08	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	30.97400	22.27	0	0.1	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	48.86700	21.45	0	0.07	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	33.91000	22.09	0	0.14	NaN	FTS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
