date	time	instrument	band	integration	mag	mag_limit	dmag	dmag2	date_unit	time_unit	time_frame	integration_time	mag_unit	mag_type	extinction_corrected	dtime	reference	flux	dflux	integration_unit	flux_unit
56069.902	30.60140	NOT/MOSCA	r'	15x90	21.79	0	0.07	0.07	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56070.957	31.65615	Gemini/GMOS	r'	1x100	21.77	0	0.08	0.08	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56071.907	32.60647	NOT/ALFOSC	r'	10x90	21.96	0	0.07	0.07	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56078.217	38.91662	GROND	r'	24x115	22.43	0	0.11	0.11	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56079.955	40.65396	Gemini/GMOS	r'	1x30	22.41	0	0.11	0.11	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56083.915	44.61476	NOT/ALFOSC	r'	20x90	22.39	0	0.47	0.47	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.322	0.02176	Gemini/GMOS	i'	1x240	20.93	0	0.04	0.04	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.896	0.59550	NOT/MOSCA	I	12x300	22.19	0	0.08	0.08	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.99	0.68939	GROND	i'	4x115	22.01	0	0.18	0.18	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.015	0.71414	GROND	i'	4x369	22.13	0	0.07	0.07	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.036	0.73560	GROND	i'	4x369	22.27	0	0.1	0.1	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.047	0.74605	Gemini/GMOS	i'	1x60	22.16	0	0.06	0.06	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.078	0.77788	GROND	i'	12x369	22.32	0	0.09	0.09	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.149	0.84825	P60	i'	900	22.23	0	0.17	0.17	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.871	1.57041	NOT/MOSCA	i'	4x300	22.48	0	0.12	0.12	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56041.067	1.76691	GROND	i'	16x115	22.5	0	0.16	0.16	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
