date	date_unit	mag	dmag	mag_limit	mag_unit	mag_type	band	instrument	time	time_unit	time_frame	dtime
50965.36	MJD	15.97	0.1	0	unspecified	apparent	U	NaN	36.45084490740741	days	observer	NaN
50965.36	MJD	14.71	0.05	0	unspecified	apparent	V	NaN	36.45084490740741	days	observer	NaN
50966.31	MJD	14.4	0.05	0	unspecified	apparent	I	NaN	37.40084490740741	days	observer	NaN
50966.35	MJD	15.79	0.05	0	unspecified	apparent	B	NaN	37.44084490740741	days	observer	NaN
50966.35	MJD	14.44	0.05	0	unspecified	apparent	R	NaN	37.44084490740741	days	observer	NaN
50966.35	MJD	16.04	0.1	0	unspecified	apparent	U	NaN	37.44084490740741	days	observer	NaN
50966.35	MJD	14.79	0.05	0	unspecified	apparent	V	NaN	37.44084490740741	days	observer	NaN
50967.3	MJD	14.46	0.05	0	unspecified	apparent	I	NaN	38.390844907407406	days	observer	NaN
50967.33	MJD	15.82	0.05	0	unspecified	apparent	B	NaN	38.42084490740741	days	observer	NaN
50967.33	MJD	14.47	0.05	0	unspecified	apparent	R	NaN	38.42084490740741	days	observer	NaN
50967.33	MJD	16.13	0.1	0	unspecified	apparent	U	NaN	38.42084490740741	days	observer	NaN
50967.33	MJD	14.83	0.05	0	unspecified	apparent	V	NaN	38.42084490740741	days	observer	NaN
50968.28	MJD	14.49	0.05	0	unspecified	apparent	I	NaN	39.37084490740741	days	observer	NaN
50968.32	MJD	15.85	0.05	0	unspecified	apparent	B	NaN	39.41084490740741	days	observer	NaN
50968.32	MJD	14.53	0.05	0	unspecified	apparent	R	NaN	39.41084490740741	days	observer	NaN
50968.32	MJD	16.15	0.1	0	unspecified	apparent	U	NaN	39.41084490740741	days	observer	NaN
50968.32	MJD	14.88	0.05	0	unspecified	apparent	V	NaN	39.41084490740741	days	observer	NaN
50970.35	MJD	14.57	0.05	0	unspecified	apparent	I	NaN	41.44084490740741	days	observer	NaN
50970.39	MJD	15.93	0.05	0	unspecified	apparent	B	NaN	41.48084490740741	days	observer	NaN
50970.39	MJD	14.64	0.05	0	unspecified	apparent	R	NaN	41.48084490740741	days	observer	NaN
50970.39	MJD	16.19	0.1	0	unspecified	apparent	U	NaN	41.48084490740741	days	observer	NaN
50970.39	MJD	14.99	0.05	0	unspecified	apparent	V	NaN	41.48084490740741	days	observer	NaN
50971.37	MJD	15.99	0.05	0	unspecified	apparent	B	NaN	42.460844907407406	days	observer	NaN
50971.37	MJD	14.68	0.05	0	unspecified	apparent	R	NaN	42.460844907407406	days	observer	NaN
50971.37	MJD	16.26	0.1	0	unspecified	apparent	U	NaN	42.460844907407406	days	observer	NaN
50971.37	MJD	15.03	0.05	0	unspecified	apparent	V	NaN	42.460844907407406	days	observer	NaN
50971.43	MJD	14.64	0.05	0	unspecified	apparent	I	NaN	42.52084490740741	days	observer	NaN
