date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
50991	61.1	V	16.34	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50991	61.1	B	15.52	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50991	61.1	R_{c}	15.2	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50991	61.1	I_{c}	14.99	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50992	62.1	U	16.6	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50992	62.1	V	16.36	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50992	62.1	B	15.54	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50992	62.1	R_{c}	15.22	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50992	62.1	I_{c}	15.01	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50993	63.1	U	16.61	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50993	63.1	V	16.37	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50993	63.1	B	15.56	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50993	63.1	R_{c}	15.24	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50993	63.1	I_{c}	15.03	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50994	64.1	U	16.62	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50994	64.1	V	16.39	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50994	64.1	B	15.58	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50994	64.1	R_{c}	15.27	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50994	64.1	I_{c}	15.05	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50995	65.1	U	16.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50995	65.1	V	16.4	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50995	65.1	B	15.6	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50995	65.1	R_{c}	15.29	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
