date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_correccted	dtime	reference	extinction_corrected	dmag2	seeing	seeing_unit
51005.7	76.7908449074074	I_{c}	15.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51006.72	77.81084490740741	U	17.19	0	0.05	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51006.72	77.81084490740741	B	16.89	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51006.72	77.81084490740741	V	16.12	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51006.72	77.81084490740741	R_{c}	15.8	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51006.72	77.81084490740741	I_{c}	15.49	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	U	17.22	0	0.04	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	B	16.9	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	V	16.14	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	R_{c}	15.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	I_{c}	15.51	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51008.72	79.81084490740741	U	17.14	0	0.05	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	B	16.92	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	V	16.16	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	R_{c}	15.84	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
51007.6	78.69084490740741	I_{c}	15.53	0	0.01	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2011AJ....141..163C/abstract	True	NaN	NaN	NaN
