Title: Revealing the Jet Structure of GRB030329 with High-Resolution 
       Multicolor Photometry  
Authors: Gorosabel J., Castro-Tirado A.J., Ramirez-Ruiz E., Granot J., Caon N., 
         Cairos L.M., Rubio-Herrera E., Guziy S., de Ugarte Postigo A., 
	 Jelinek M.
Table: Light-Curve Data for GRB 030329
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label      Explanations
--------------------------------------------------------------------------------
   1- 12 F12.7  d       MJD-start  Starting Modified Julian Date of observation
  14- 25 F12.7  d       MJD-end    Ending Modified Julian Date of observation
      27 A1     ---     Filt       Filter used in the observation
  29- 34 F6.3   mag     mag        Observed magnitude in Filt
  36- 40 F5.3   mag   e_mag        Error in mag
--------------------------------------------------------------------------------
2728.5138079 2728.5139815 B 15.566 0.014
2728.5142824 2728.5143981 V 15.218 0.011
2728.5147106 2728.5148264 R 14.894 0.026
2728.5152315 2728.5154051 B 15.570 0.015
2728.5156944 2728.5158102 V 15.219 0.012
2728.5163542 2728.5164699 R 14.910 0.023
2728.5167708 2728.5169444 B 15.583 0.014
2728.5172106 2728.5173264 V 15.228 0.011
2728.5176273 2728.5177431 R 14.914 0.025
2728.5180903 2728.5182639 B 15.592 0.015
2728.5185995 2728.5187153 V 15.236 0.013
2728.5191088 2728.5192245 R 14.918 0.024
2728.5197106 2728.5198843 B 15.590 0.021
2728.5201736 2728.5202894 V 15.252 0.016
2728.5206829 2728.5207986 R 14.915 0.035
2728.5212269 2728.5214005 B 15.597 0.021
2728.5216667 2728.5217824 V 15.242 0.023
2728.5220718 2728.5221875 R 14.922 0.068
2728.5235995 2728.5238310 V 15.254 0.021
2728.5242824 2728.5246296 R 14.933 0.026
2728.5251389 2728.5256597 B 15.604 0.014
2728.5260069 2728.5263542 V 15.262 0.009
2728.5274190 2728.5277662 R 14.933 0.027
2728.5284491 2728.5289699 B 15.618 0.013
2728.5293056 2728.5296528 V 15.264 0.009
2728.5300231 2728.5303704 R 14.947 0.023
2728.5307639 2728.5312847 B 15.612 0.014
2728.5317245 2728.5320718 V 15.270 0.010
2728.5327546 2728.5329861 R 14.954 0.025
2728.5335995 2728.5339468 B 15.619 0.032
2728.5342477 2728.5344792 V 15.270 0.015
2728.5347917 2728.5350231 R 14.956 0.024
2728.5355093 2728.5358565 B 15.626 0.013
2728.5362616 2728.5364931 V 15.281 0.010
2728.5369444 2728.5371759 R 14.961 0.023
2728.5375347 2728.5378819 B 15.630 0.014
2728.5381481 2728.5383796 V 15.290 0.011
2728.5388079 2728.5390394 R 14.972 0.023
2728.5393866 2728.5397338 B 15.635 0.013
2728.5400926 2728.5403241 V 15.289 0.010
2728.5406366 2728.5408681 R 14.977 0.026
2728.5411343 2728.5414815 B 15.644 0.016
2728.5418056 2728.5420370 V 15.306 0.012
2728.5424421 2728.5426736 R 14.979 0.024
2728.5429977 2728.5433449 B 15.648 0.013
2728.5439120 2728.5441435 V 15.313 0.010
2728.5444213 2728.5446528 R 14.984 0.023
2728.5453704 2728.5456019 V 15.303 0.009
2728.5459144 2728.5461458 R 14.993 0.023
2728.5464352 2728.5467824 B 15.654 0.014
2728.5470718 2728.5473032 V 15.314 0.010
2728.5476852 2728.5479167 R 14.992 0.023
2728.5482176 2728.5485648 B 15.665 0.013
2728.5488426 2728.5490741 V 15.326 0.010
2728.5493750 2728.5496065 R 14.995 0.023
2728.5499074 2728.5502546 B 15.676 0.013
2728.5506366 2728.5508681 V 15.320 0.010
2728.5512269 2728.5514583 R 15.003 0.025
2728.5571644 2728.5575116 B 15.691 0.017
2728.5578819 2728.5581134 V 15.339 0.014
2728.5586458 2728.5588773 R 15.027 0.029
2728.5591782 2728.5595255 B 15.699 0.026
2728.5598032 2728.5600347 V 15.357 0.027
2728.5603241 2728.5605556 R 15.031 0.025
2728.5608565 2728.5612037 B 15.713 0.014
2728.5617245 2728.5619560 V 15.365 0.010
2728.5622222 2728.5624537 R 15.036 0.023
2728.5627315 2728.5630787 B 15.709 0.014
2728.5633681 2728.5635995 V 15.371 0.012
2728.5639005 2728.5641319 R 15.042 0.024
2728.5644213 2728.5647685 B 15.718 0.014
2728.5650463 2728.5652778 V 15.372 0.010
2728.5655671 2728.5657986 R 15.042 0.024
2728.5663079 2728.5666551 B 15.717 0.014
2728.5669560 2728.5671875 V 15.365 0.012
2728.5675810 2728.5678125 R 15.055 0.036
2728.5681597 2728.5685069 B 15.731 0.014
2728.5688657 2728.5690972 V 15.373 0.013
2728.5694444 2728.5696759 R 15.055 0.024
2728.5700810 2728.5704282 B 15.739 0.014
2728.5707176 2728.5709491 V 15.373 0.014
2728.5712269 2728.5714583 R 15.063 0.024
2728.5717130 2728.5720602 B 15.732 0.015
2728.5723264 2728.5725579 V 15.405 0.024
2728.5729051 2728.5730208 R 15.069 0.026
2728.5732986 2728.5735301 R 15.073 0.024
2728.5738773 2728.5742245 B 15.746 0.013
2728.5745139 2728.5747454 V 15.401 0.011
2728.5750694 2728.5753009 R 15.083 0.024
2728.5756134 2728.5759606 B 15.743 0.013
2728.5762731 2728.5765046 V 15.399 0.009
2728.5769560 2728.5771875 R 15.080 0.023
2728.5774884 2728.5778356 B 15.752 0.013
2728.5781597 2728.5783912 V 15.411 0.009
2728.5786690 2728.5789005 R 15.081 0.023
2728.5792014 2728.5795486 B 15.767 0.014
2728.5798611 2728.5800926 V 15.406 0.011
2728.5803819 2728.5806134 R 15.092 0.023
2728.5809491 2728.5812963 B 15.766 0.013
2728.5817708 2728.5820023 V 15.414 0.009
2728.5823148 2728.5825463 R 15.100 0.023
2728.5828704 2728.5832176 B 15.773 0.013
2728.5834838 2728.5837153 V 15.423 0.009
2728.5839699 2728.5842014 R 15.101 0.022
2728.5845833 2728.5849306 B 15.776 0.013
2728.5852199 2728.5854514 V 15.430 0.009
2728.5857292 2728.5859606 R 15.109 0.022
2728.5862616 2728.5866088 B 15.782 0.013
2728.5869329 2728.5871644 V 15.432 0.009
2728.5874421 2728.5876736 R 15.111 0.022
2728.5880208 2728.5883681 B 15.790 0.013
2728.5886343 2728.5888657 V 15.440 0.009
2728.5892245 2728.5894560 R 15.122 0.023
2728.5897685 2728.5901157 B 15.794 0.014
2728.5903935 2728.5906250 V 15.439 0.012
2728.5908912 2728.5911227 R 15.120 0.023
2728.5913773 2728.5917245 B 15.807 0.014
2728.5920718 2728.5923032 V 15.463 0.010
2728.5925694 2728.5928009 R 15.120 0.024
2728.5931134 2728.5934606 B 15.810 0.014
2728.5937847 2728.5940162 V 15.461 0.010
2728.5943519 2728.5945833 R 15.130 0.024
2728.5949537 2728.5953009 B 15.810 0.014
2728.5956481 2728.5958796 V 15.469 0.010
2728.5962384 2728.5964699 R 15.132 0.024
2728.5969213 2728.5972685 B 15.812 0.014
2728.5975231 2728.5977546 V 15.469 0.010
2728.5980671 2728.5982986 R 15.135 0.023
2728.5986111 2728.5989583 B 15.817 0.014
2728.5993056 2728.5995370 V 15.457 0.011
2728.5998032 2728.6000347 R 15.158 0.024
2728.6003819 2728.6007292 B 15.828 0.014
2728.6010417 2728.6012731 V 15.467 0.010
2728.6015278 2728.6017593 R 15.159 0.023
2728.6020718 2728.6024190 B 15.836 0.013
2728.6026852 2728.6029167 V 15.481 0.009
2728.6032176 2728.6034491 R 15.163 0.022
2728.6039931 2728.6043403 B 15.838 0.013
2728.6046644 2728.6048958 V 15.482 0.009
2728.6051736 2728.6054051 R 15.161 0.022
2728.6056713 2728.6060185 B 15.841 0.013
2728.6063310 2728.6065625 V 15.493 0.010
2728.6069560 2728.6071875 R 15.169 0.023
2728.6074884 2728.6078356 B 15.850 0.013
2728.6081134 2728.6083449 V 15.483 0.011
2728.6086343 2728.6088657 R 15.184 0.024
2728.6091435 2728.6094907 B 15.849 0.014
2728.6098148 2728.6100463 V 15.513 0.010
2728.6103935 2728.6106250 R 15.186 0.023
2728.6109144 2728.6112616 B 15.858 0.013
2728.6115509 2728.6117824 V 15.508 0.010
2728.6120486 2728.6122801 R 15.187 0.023
2728.6125810 2728.6129282 B 15.861 0.013
2728.6132292 2728.6134606 V 15.503 0.010
2728.6137384 2728.6139699 R 15.197 0.023
2728.6142940 2728.6146412 B 15.872 0.013
