time	freq	flux_density	flux_density_limit	dflux_density	time_unit	freq_unit	flux_density_unit	dtime	time_frame	instrument	reference
2.24000	242.698	1.48	0	0.057	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.30100	227.399	1.18	0	0.056	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.30100	229.505	1.261	0	0.061	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.30100	240.581	1.132	0	0.061	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.30100	242.697	1.475	0	0.071	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.20900	227.399	1.468	0	0.092	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.20900	229.505	1.459	0	0.099	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.20900	240.581	1.382	0	0.044	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.20900	242.698	1.51	0	0.048	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.25400	227.399	1.34	0	0.045	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.25400	229.505	1.338	0	0.043	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.25400	240.581	1.321	0	0.093	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
3.25400	242.698	1.36	0	0.048	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.09300	227.399	1.3	0	0.041	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.09300	229.505	1.442	0	0.041	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.09300	240.581	1.386	0	0.057	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.09300	242.698	1.495	0	0.059	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
1.08000	90.5	2.668	0	0.051	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
1.08000	92.5	2.758	0	0.053	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
1.08000	102.5	2.533	0	0.052	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
1.08000	104.5	2.524	0	0.056	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.13000	90.5	1.711	0	0.052	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.13000	92.5	1.764	0	0.049	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.13000	102.5	1.618	0	0.05	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
4.13000	104.5	1.557	0	0.052	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.24000	90.5	1.189	0	0.054	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.24000	92.5	0.948	0	0.062	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.24000	102.5	0.984	0	0.055	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
10.24000	104.5	0.911	0	0.06	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
0.09950	97.5	11.5	0	21.8	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.10700	97.5	11.1	0	21.2	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.11500	97.5	10.7	0	25.7	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.12500	97.5	10.2	0	31.4	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.12900	97.5	10.1	0	60.8	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.14000	97.5	9.58	0	20.8	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.14600	97.5	9.26	0	35.5	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.15400	97.5	8.6	0	29.6	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.16100	97.5	8.24	0	22.2	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.16800	97.5	8.05	0	25.5	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.18800	97.5	7.53	0	23.0	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.19600	97.5	7.27	0	23.1	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.20300	97.5	7.04	0	23.7	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.21300	97.5	7.0	0	28.8	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.21700	97.5	6.87	0	56.7	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.19700	37.0	3.95	0	39.0	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.19700	30.0	3.28	0	32.0	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.21900	24.5	2.66	0	23.0	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.21900	19.2	1.96	0	18.0	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.23600	16.0	1.52	0	24.4	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.23600	13.5	1.22	0	29.9	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.24900	11.0	0.838	0	19.0	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.24900	8.55	0.607	0	17.3	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.26100	7.1	0.397	0	19.3	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
0.26100	5.0	0.118	0	32.0	days	GHz	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...878L..26L/abstract
