time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime	instrument
0.06	80	i	14.78	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	J	14.58	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	Z	14.69	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	80	i	14.79	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	J	14.58	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	Z	14.65	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	80	i	14.8	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	H	14.53	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	y	14.62	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	80	i	14.89	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	y	14.61	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	H	14.51	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	80	i	14.86	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	J	14.66	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.07	67	Z	14.73	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.83	1280	i	17.45	0	0.42	374.99	12.58	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.83	1280	r	17.59	0	0.42	327.32	13.34	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.83	536	y	17.12	0	0.42	519.07	89.32	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.83	536	Z	17.23	0	0.42	459.2	82.36	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.83	536	H	17.01	0	0.42	584.25	104.51	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.83	536	J	17.14	0	0.42	489.86	118.33	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.85	1280	i	17.48	0	0.42	360.45	12.42	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.85	1280	r	17.61	0	0.42	319.0	16.78	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.85	536	y	17.11	0	0.42	519.29	106.76	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.85	536	Z	17.26	0	0.42	444.71	97.8	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.85	536	H	17.04	0	0.42	572.18	298.77	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.85	536	J	17.16	0	0.42	482.33	99.53	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.87	1280	i	17.5	0	0.42	361.4	11.22	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.87	1280	r	17.66	0	0.42	307.57	6.73	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.87	536	H	17.02	0	0.42	556.82	94.64	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.87	536	J	17.19	0	0.42	492.18	98.82	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.87	536	y	17.14	0	0.42	492.73	91.88	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.87	536	Z	17.29	0	0.42	434.49	62.79	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.9	1280	r	17.71	0	0.42	297.7	17.58	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.9	1280	i	17.56	0	0.42	335.92	15.12	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.9	536	y	17.27	0	0.42	451.8	55.35	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.9	536	Z	17.32	0	0.42	413.81	67.52	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.9	536	H	17.14	0	0.42	520.21	61.26	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.9	536	J	17.25	0	0.42	456.95	65.92	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.92	1280	i	17.59	0	0.42	329.32	11.05	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.92	1280	r	17.76	0	0.42	281.54	8.12	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.92	536	y	17.28	0	0.42	466.42	62.22	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.92	536	Z	17.36	0	0.42	399.12	62.3	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.92	536	H	17.11	0	0.42	539.28	76.97	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.92	536	J	17.33	0	0.42	412.45	54.73	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.94	1280	i	17.62	0	0.42	314.8	10.13	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.94	1280	r	17.77	0	0.42	275.47	8.21	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.94	536	y	17.26	0	0.42	441.59	64.98	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.94	536	Z	17.41	0	0.42	391.78	29.23	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.94	536	H	17.17	0	0.42	551.47	69.19	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.94	536	J	17.26	0	0.42	437.22	73.4	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.97	1280	i	17.65	0	0.42	306.26	11.71	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.97	1280	r	17.81	0	0.42	267.65	10.62	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.97	536	H	17.23	0	0.42	504.95	57.64	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.97	536	J	17.35	0	0.42	411.12	57.56	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.97	536	y	17.3	0	0.42	427.96	57.65	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.97	536	Z	17.42	0	0.42	380.83	41.56	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.99	1280	i	17.69	0	0.42	295.68	8.7	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.99	1280	r	17.84	0	0.42	260.68	13.34	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.99	536	y	17.37	0	0.42	401.57	43.58	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.99	536	Z	17.43	0	0.42	372.94	56.57	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.99	536	H	17.23	0	0.42	507.92	63.59	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.99	536	J	17.38	0	0.42	395.39	53.28	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.01	1280	r	17.84	0	0.42	258.4	11.61	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.01	1280	i	17.73	0	0.42	285.6	10.05	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.01	536	y	17.4	0	0.42	401.01	52.93	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.01	536	Z	17.49	0	0.42	362.49	54.65	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.01	536	H	17.25	0	0.42	466.24	60.97	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
