date	time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	time_frame	integration_unit	mag_unit	flux_density_unit	extinction_corrected	instrument	dtime	reference
	58.88	150	g'	22.56	0	0.06				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	62.87	150	g'	22.6	0	0.09				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	330.48	203	g'	23.51	0	0.03				days	observer	seconds	AB		False	Keck/LRIS		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	632.37	1200	g'	23.66	0	0.04				days	observer	seconds	AB		False	DCT		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	0.18	60	r'	17.38	0	0.04				days	observer	seconds	AB		False	P48		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	0.21	60	r'	17.52	0	0.04				days	observer	seconds	AB		False	P48		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	1.26	360	r'	18.66	0	0.05				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	2.16	7600	r'	19.23	0	0.06				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	2.21	420	r'	19.32	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	3.21	5040	r'	19.67	0	0.04				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	3.25	120	r'	19.7	0	0.08				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	4.18	1320	r'	19.97	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	4.21	5360	r'	19.88	0	0.05				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	5.21	4960	r'	19.95	0	0.05				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	5.27	540	r'	20.0	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	6.2	4880	r'	19.94	0	0.05				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	6.27	540	r'	20.04	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
