date	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit
2728.4413657-2728.4415394	B	15.352	0	0.013	MJD-MJD	Unspecified	0.45725497685185185	days
2728.4418171-2728.4419329	V	15.003	0	0.009	MJD-MJD	Unspecified	0.4576774305555555	days
2728.4422106-2728.4423264	R	14.682	0	0.022	MJD-MJD	Unspecified	0.4580709317129629	days
2728.4426042-2728.4427778	B	15.359	0	0.013	MJD-MJD	Unspecified	0.4584934317129629	days
2728.4430787-2728.4431944	V	15.005	0	0.009	MJD-MJD	Unspecified	0.45893898148148143	days
2728.4434838-2728.4435995	R	14.684	0	0.023	MJD-MJD	Unspecified	0.4593440798611112	days
2728.4438773-2728.4440509	B	15.36	0	0.013	MJD-MJD	Unspecified	0.45976653356481484	days
2728.4443519-2728.4444676	V	15.011	0	0.009	MJD-MJD	Unspecified	0.460212181712963	days
2728.4447917-2728.4449074	R	14.691	0	0.022	MJD-MJD	Unspecified	0.4606519791666667	days
2728.4452199-2728.4453935	B	15.362	0	0.013	MJD-MJD	Unspecified	0.46110912615740746	days
2728.4456597-2728.4457755	V	15.017	0	0.009	MJD-MJD	Unspecified	0.46152002893518523	days
2728.4460532-2728.4461690	R	14.699	0	0.023	MJD-MJD	Unspecified	0.46191353009259256	days
2728.4464699-2728.4466435	B	15.372	0	0.013	MJD-MJD	Unspecified	0.46235912615740743	days
2728.4469213-2728.4470370	V	15.017	0	0.009	MJD-MJD	Unspecified	0.4627815798611112	days
2728.4473032-2728.4474190	R	14.695	0	0.023	MJD-MJD	Unspecified	0.46316353009259265	days
2728.4476968-2728.4478704	B	15.373	0	0.013	MJD-MJD	Unspecified	0.4635860358796297	days
2728.4481713-2728.4482870	V	15.029	0	0.009	MJD-MJD	Unspecified	0.46403157986111115	days
2728.4485764-2728.4486921	R	14.707	0	0.023	MJD-MJD	Unspecified	0.4644366782407408	days
2728.4490278-2728.4492014	B	15.373	0	0.013	MJD-MJD	Unspecified	0.46491703125	days
2728.4495139-2728.4496296	V	15.029	0	0.009	MJD-MJD	Unspecified	0.46537417824074073	days
2728.4499769-2728.4500926	R	14.713	0	0.023	MJD-MJD	Unspecified	0.465837181712963	days
2728.4503704-2728.4505440	B	15.384	0	0.013	MJD-MJD	Unspecified	0.46625963541666654	days
2728.4508796-2728.4509954	V	15.026	0	0.009	MJD-MJD	Unspecified	0.46673993055555557	days
2728.4513542-2728.4514699	R	14.705	0	0.022	MJD-MJD	Unspecified	0.46721447916666664	days
2728.4517708-2728.4519444	B	15.381	0	0.013	MJD-MJD	Unspecified	0.46766002893518527	days
2728.4522222-2728.4523380	V	15.032	0	0.009	MJD-MJD	Unspecified	0.46808252893518526	days
2728.4527894-2728.4529051	V	15.037	0	0.009	MJD-MJD	Unspecified	0.468649681712963	days
2728.4537269-2728.4538426	R	14.716	0	0.023	MJD-MJD	Unspecified	0.46958718171296304	days
2728.4541204-2728.4542940	B	15.385	0	0.013	MJD-MJD	Unspecified	0.4700096354166667	days
2728.4545949-2728.4547106	V	15.041	0	0.009	MJD-MJD	Unspecified	0.4704551793981481	days
2728.4550347-2728.4551505	R	14.719	0	0.023	MJD-MJD	Unspecified	0.47089502893518514	days
2728.4554167-2728.4555903	B	15.403	0	0.013	MJD-MJD	Unspecified	0.47130593171296303	days
2728.4559028-2728.4560185	V	15.05	0	0.009	MJD-MJD	Unspecified	0.47176307870370365	days
2728.4563194-2728.4564352	R	14.72	0	0.022	MJD-MJD	Unspecified	0.4721797280092593	days
2728.4568056-2728.4569792	B	15.399	0	0.013	MJD-MJD	Unspecified	0.47269483217592584	days
2728.4572685-2728.4573843	V	15.048	0	0.009	MJD-MJD	Unspecified	0.4731288310185186	days
2728.4578356-2728.4579514	R	14.724	0	0.022	MJD-MJD	Unspecified	0.4736959317129629	days
2728.4582639-2728.4584375	B	15.41	0	0.013	MJD-MJD	Unspecified	0.4741531307870372	days
2728.4587153-2728.4588310	V	15.052	0	0.009	MJD-MJD	Unspecified	0.47457557870370376	days
2728.4591435-2728.4592593	R	14.729	0	0.022	MJD-MJD	Unspecified	0.4750038310185187	days
2728.4595602-2728.4597338	B	15.405	0	0.013	MJD-MJD	Unspecified	0.4754494270833333	days
2728.4601620-2728.4602778	V	15.059	0	0.009	MJD-MJD	Unspecified	0.476022332175926	days
2728.4605556-2728.4606713	R	14.734	0	0.022	MJD-MJD	Unspecified	0.47641587962962967	days
2728.4609954-2728.4611690	B	15.411	0	0.013	MJD-MJD	Unspecified	0.47688463541666665	days
2728.4614468-2728.4615625	V	15.061	0	0.009	MJD-MJD	Unspecified	0.47730708333333344	days
2728.4618866-2728.4620023	R	14.738	0	0.023	MJD-MJD	Unspecified	0.47774688078703703	days
2728.4623148-2728.4624884	B	15.415	0	0.013	MJD-MJD	Unspecified	0.47820403356481483	days
2728.4627662-2728.4628819	V	15.071	0	0.009	MJD-MJD	Unspecified	0.4786264814814815	days
2728.4632292-2728.4633449	R	14.749	0	0.023	MJD-MJD	Unspecified	0.4790894791666666	days
2728.4636574-2728.4638310	B	15.419	0	0.013	MJD-MJD	Unspecified	0.47954662615740745	days
2728.4641088-2728.4642245	V	15.067	0	0.009	MJD-MJD	Unspecified	0.4799690798611111	days
2728.4644907-2728.4646065	R	14.745	0	0.023	MJD-MJD	Unspecified	0.48035103009259256	days
2728.4649306-2728.4651042	B	15.421	0	0.013	MJD-MJD	Unspecified	0.480819832175926	days
2728.4653935-2728.4655093	V	15.078	0	0.009	MJD-MJD	Unspecified	0.48125383101851854	days
2728.4657755-2728.4658912	R	14.753	0	0.023	MJD-MJD	Unspecified	0.48163578125	days
2728.4661806-2728.4663542	B	15.427	0	0.013	MJD-MJD	Unspecified	0.48206983217592597	days
2728.4666551-2728.4667708	V	15.079	0	0.009	MJD-MJD	Unspecified	0.4825153819444445	days
2728.4670255-2728.4671412	R	14.751	0	0.023	MJD-MJD	Unspecified	0.48288578125	days
2728.4674421-2728.4676157	B	15.428	0	0.013	MJD-MJD	Unspecified	0.4833313252314814	days
2728.4678704-2728.4679861	V	15.081	0	0.009	MJD-MJD	Unspecified	0.4837306828703704	days
2728.4682870-2728.4684028	R	14.757	0	0.022	MJD-MJD	Unspecified	0.4841473321759259	days
2728.4686921-2728.4688657	B	15.437	0	0.013	MJD-MJD	Unspecified	0.4845813252314816	days
2728.4691667-2728.4692824	V	15.087	0	0.009	MJD-MJD	Unspecified	0.48502697916666665	days
2728.4695949-2728.4697106	R	14.759	0	0.023	MJD-MJD	Unspecified	0.48545517939814814	days
2728.4700463-2728.4702199	B	15.435	0	0.013	MJD-MJD	Unspecified	0.4859355266203704	days
2728.4704861-2728.4706019	V	15.088	0	0.009	MJD-MJD	Unspecified	0.48634642939814815	days
2728.4708796-2728.4709954	R	14.764	0	0.023	MJD-MJD	Unspecified	0.4867399305555556	days
2728.4712847-2728.4714583	B	15.443	0	0.013	MJD-MJD	Unspecified	0.48717392939814824	days
2728.4717477-2728.4718634	V	15.092	0	0.01	MJD-MJD	Unspecified	0.4876079803240742	days
2728.4721412-2728.4722569	R	14.77	0	0.023	MJD-MJD	Unspecified	0.4880014814814814	days
2728.4726273-2728.4728009	B	15.454	0	0.013	MJD-MJD	Unspecified	0.4885165335648149	days
2728.4733449-2728.4734606	V	15.099	0	0.009	MJD-MJD	Unspecified	0.48920517939814817	days
