time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit
8.6475	18.473	0	0.04	I	FLWO	days	Unknown
8.7844	18.469	0	0.04	I	FLWO	days	Unknown
8.8866	18.518	0	0.05	I	FLWO	days	Unknown
9.6444	18.595	0	0.05	I	FLWO	days	Unknown
9.7709	18.527	0	0.04	I	FLWO	days	Unknown
9.8666	18.583	0	0.06	I	FLWO	days	Unknown
10.6807	18.741	0	0.05	I	FLWO	days	Unknown
10.8158	18.768	0	0.04	I	FLWO	days	Unknown
11.6667	18.906	0	0.04	I	FLWO	days	Unknown
11.7475	18.938	0	0.05	I	FLWO	days	Unknown
11.8441	18.985	0	0.06	I	FLWO	days	Unknown
3.6058	15.935	0	0.02	J	LCO40	days	Unknown
4.6488	16.449	0	0.03	J	LCO40	days	Unknown
5.6552	16.416	0	0.02	J	LCO40	days	Unknown
6.6239	17.051	0	0.04	J	LCO40	days	Unknown
7.6887	17.438	0	0.03	J	LCO40	days	Unknown
8.6377	17.559	0	0.04	J	LCO40	days	Unknown
9.6427	17.736	0	0.04	J	LCO40	days	Unknown
11.6355	18.233	0	0.07	J	LCO40	days	Unknown
3.6325	15.222	0	0.02	H	LCO40	days	Unknown
4.6757	15.575	0	0.03	H	LCO40	days	Unknown
5.6775	15.687	0	0.03	H	LCO40	days	Unknown
6.6493	16.199	0	0.04	H	LCO40	days	Unknown
7.6682	16.634	0	0.05	H	LCO40	days	Unknown
8.6645	16.833	0	0.08	H	LCO40	days	Unknown
9.6795	17.152	0	0.05	H	LCO40	days	Unknown
