event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2012bz,56061.176,21.22,0.14,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56061.463,21.54,0.36,b,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56061.962,21.32,0.06,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56062.181,21.27,0.15,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56062.886,21.46,0.22,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56063.18,21.33,0.1,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56063.891,21.41,0.17,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56063.912,21.36,0.08,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56063.974,21.27,0.06,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56065.2816,21.9,0.15,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56065.897,21.48,0.05,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56065.921,21.29,0.05,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56065.968,21.51,0.04,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
